date,channel,campaign,spend,clicks,impressions
2025-10-01,Paid Search,Paid Search Q4 Push,1084.87,639,6390
2025-10-01,Paid Social,Paid Social Q4 Push,826.0,627,6270
2025-10-01,Display,Display Q4 Push,381.49,173,1730
2025-10-01,Affiliate,Affiliate Q4 Push,272.14,298,2980
2025-10-01,Email,Email Q4 Push,157.97,159,2226
2025-10-01,Organic,Organic Q4 Push,0.0,101,1212
2025-10-02,Paid Search,Paid Search Q4 Push,1012.91,623,7476
2025-10-02,Paid Social,Paid Social Q4 Push,919.11,597,6567
2025-10-02,Display,Display Q4 Push,460.58,216,2592
2025-10-02,Affiliate,Affiliate Q4 Push,355.19,343,3430
2025-10-02,Email,Email Q4 Push,132.43,220,3080
2025-10-02,Organic,Organic Q4 Push,0.0,178,2314
2025-10-03,Paid Search,Paid Search Q4 Push,1432.04,994,9940
2025-10-03,Paid Social,Paid Social Q4 Push,859.93,529,6877
2025-10-03,Display,Display Q4 Push,264.56,170,2040
2025-10-03,Affiliate,Affiliate Q4 Push,245.62,188,1880
2025-10-03,Email,Email Q4 Push,178.44,169,2366
2025-10-03,Organic,Organic Q4 Push,0.0,106,1060
2025-10-04,Paid Search,Paid Search Q4 Push,1220.84,827,8270
2025-10-04,Paid Social,Paid Social Q4 Push,669.36,614,8596
2025-10-04,Display,Display Q4 Push,363.6,336,4704
2025-10-04,Affiliate,Affiliate Q4 Push,245.54,249,3486
2025-10-04,Email,Email Q4 Push,202.26,48,480
2025-10-04,Organic,Organic Q4 Push,0.0,169,1859
2025-10-05,Paid Search,Paid Search Q4 Push,1278.66,843,8430
2025-10-05,Paid Social,Paid Social Q4 Push,703.19,464,4640
2025-10-05,Display,Display Q4 Push,387.06,371,4452
2025-10-05,Affiliate,Affiliate Q4 Push,322.48,268,2680
2025-10-05,Email,Email Q4 Push,180.08,85,935
2025-10-05,Organic,Organic Q4 Push,0.0,201,2010
2025-10-06,Paid Search,Paid Search Q4 Push,949.66,650,9100
2025-10-06,Paid Social,Paid Social Q4 Push,821.95,436,5668
2025-10-06,Display,Display Q4 Push,371.59,172,1720
2025-10-06,Affiliate,Affiliate Q4 Push,344.8,184,2208
2025-10-06,Email,Email Q4 Push,181.12,79,790
2025-10-06,Organic,Organic Q4 Push,0.0,230,2300
2025-10-07,Paid Search,Paid Search Q4 Push,1417.8,961,11532
2025-10-07,Paid Social,Paid Social Q4 Push,794.99,429,5148
2025-10-07,Display,Display Q4 Push,471.89,297,4158
2025-10-07,Affiliate,Affiliate Q4 Push,369.4,402,4020
2025-10-07,Email,Email Q4 Push,139.08,26,338
2025-10-07,Organic,Organic Q4 Push,0.0,70,700
2025-10-08,Paid Search,Paid Search Q4 Push,1418.69,952,9520
2025-10-08,Paid Social,Paid Social Q4 Push,830.81,440,4400
2025-10-08,Display,Display Q4 Push,311.36,241,3374
2025-10-08,Affiliate,Affiliate Q4 Push,303.48,56,672
2025-10-08,Email,Email Q4 Push,156.16,68,884
2025-10-08,Organic,Organic Q4 Push,0.0,115,1610
2025-10-09,Paid Search,Paid Search Q4 Push,1222.6,804,8844
2025-10-09,Paid Social,Paid Social Q4 Push,715.82,422,4220
2025-10-09,Display,Display Q4 Push,378.23,160,2240
2025-10-09,Affiliate,Affiliate Q4 Push,388.13,218,2180
2025-10-09,Email,Email Q4 Push,189.58,99,990
2025-10-09,Organic,Organic Q4 Push,0.0,122,1464
2025-10-10,Paid Search,Paid Search Q4 Push,1236.36,849,11886
2025-10-10,Paid Social,Paid Social Q4 Push,737.97,492,4920
2025-10-10,Display,Display Q4 Push,516.77,382,4966
2025-10-10,Affiliate,Affiliate Q4 Push,272.55,246,2706
2025-10-10,Email,Email Q4 Push,159.19,85,850
2025-10-10,Organic,Organic Q4 Push,0.0,204,2652
2025-10-11,Paid Search,Paid Search Q4 Push,1007.78,673,6730
2025-10-11,Paid Social,Paid Social Q4 Push,946.16,692,6920
2025-10-11,Display,Display Q4 Push,368.21,293,3223
2025-10-11,Affiliate,Affiliate Q4 Push,253.19,155,2170
2025-10-11,Email,Email Q4 Push,141.6,0,0
2025-10-11,Organic,Organic Q4 Push,0.0,209,2508
2025-10-12,Paid Search,Paid Search Q4 Push,1108.08,791,7910
2025-10-12,Paid Social,Paid Social Q4 Push,826.51,585,5850
2025-10-12,Display,Display Q4 Push,448.64,404,5656
2025-10-12,Affiliate,Affiliate Q4 Push,264.32,157,1727
2025-10-12,Email,Email Q4 Push,137.44,128,1280
2025-10-12,Organic,Organic Q4 Push,0.0,232,2552
2025-10-13,Paid Search,Paid Search Q4 Push,1067.26,713,8556
2025-10-13,Paid Social,Paid Social Q4 Push,695.34,531,5841
2025-10-13,Display,Display Q4 Push,314.13,94,940
2025-10-13,Affiliate,Affiliate Q4 Push,266.0,127,1651
2025-10-13,Email,Email Q4 Push,148.35,103,1030
2025-10-13,Organic,Organic Q4 Push,0.0,197,2758
2025-10-14,Paid Search,Paid Search Q4 Push,1385.4,1027,10270
2025-10-14,Paid Social,Paid Social Q4 Push,900.78,618,8034
2025-10-14,Display,Display Q4 Push,438.34,249,2490
2025-10-14,Affiliate,Affiliate Q4 Push,247.87,61,610
2025-10-14,Email,Email Q4 Push,132.73,42,546
2025-10-14,Organic,Organic Q4 Push,0.0,246,2952
2025-10-15,Paid Search,Paid Search Q4 Push,1106.74,705,7050
2025-10-15,Paid Social,Paid Social Q4 Push,861.85,594,7128
2025-10-15,Display,Display Q4 Push,335.44,267,2670
2025-10-15,Affiliate,Affiliate Q4 Push,284.48,229,2290
2025-10-15,Email,Email Q4 Push,131.41,64,704
2025-10-15,Organic,Organic Q4 Push,0.0,157,1570
2025-10-16,Paid Search,Paid Search Q4 Push,953.54,594,8316
2025-10-16,Paid Social,Paid Social Q4 Push,572.65,372,4092
2025-10-16,Display,Display Q4 Push,339.67,360,4680
2025-10-16,Affiliate,Affiliate Q4 Push,273.87,182,2002
2025-10-16,Email,Email Q4 Push,178.23,193,2123
2025-10-16,Organic,Organic Q4 Push,0.0,188,1880
2025-10-17,Paid Search,Paid Search Q4 Push,1480.15,1042,12504
2025-10-17,Paid Social,Paid Social Q4 Push,786.79,467,6538
2025-10-17,Display,Display Q4 Push,520.61,395,4345
2025-10-17,Affiliate,Affiliate Q4 Push,238.69,86,860
2025-10-17,Email,Email Q4 Push,194.87,142,1562
2025-10-17,Organic,Organic Q4 Push,0.0,53,583
2025-10-18,Paid Search,Paid Search Q4 Push,1506.97,1030,10300
2025-10-18,Paid Social,Paid Social Q4 Push,711.06,522,6264
2025-10-18,Display,Display Q4 Push,569.58,461,4610
2025-10-18,Affiliate,Affiliate Q4 Push,325.49,198,2376
2025-10-18,Email,Email Q4 Push,144.18,66,726
2025-10-18,Organic,Organic Q4 Push,0.0,167,1837
2025-10-19,Paid Search,Paid Search Q4 Push,1178.69,844,8440
2025-10-19,Paid Social,Paid Social Q4 Push,1029.83,675,6750
2025-10-19,Display,Display Q4 Push,402.62,341,4092
2025-10-19,Affiliate,Affiliate Q4 Push,264.97,85,1020
2025-10-19,Email,Email Q4 Push,122.71,0,0
2025-10-19,Organic,Organic Q4 Push,0.0,149,1937
2025-10-20,Paid Search,Paid Search Q4 Push,1200.9,802,8020
2025-10-20,Paid Social,Paid Social Q4 Push,683.14,410,5740
2025-10-20,Display,Display Q4 Push,393.18,266,2926
2025-10-20,Affiliate,Affiliate Q4 Push,299.81,302,4228
2025-10-20,Email,Email Q4 Push,131.77,141,1974
2025-10-20,Organic,Organic Q4 Push,0.0,229,2977
2025-10-21,Paid Search,Paid Search Q4 Push,1142.99,801,8010
2025-10-21,Paid Social,Paid Social Q4 Push,733.67,453,4530
2025-10-21,Display,Display Q4 Push,359.81,301,3010
2025-10-21,Affiliate,Affiliate Q4 Push,287.07,253,2783
2025-10-21,Email,Email Q4 Push,137.64,56,560
2025-10-21,Organic,Organic Q4 Push,0.0,144,1440
2025-10-22,Paid Search,Paid Search Q4 Push,1127.66,732,9516
2025-10-22,Paid Social,Paid Social Q4 Push,754.25,490,5880
2025-10-22,Display,Display Q4 Push,425.69,294,4116
2025-10-22,Affiliate,Affiliate Q4 Push,352.3,288,2880
2025-10-22,Email,Email Q4 Push,145.39,73,730
2025-10-22,Organic,Organic Q4 Push,0.0,215,2150
2025-10-23,Paid Search,Paid Search Q4 Push,873.0,629,6290
2025-10-23,Paid Social,Paid Social Q4 Push,798.62,477,6678
2025-10-23,Display,Display Q4 Push,399.26,246,2460
2025-10-23,Affiliate,Affiliate Q4 Push,284.5,130,1300
2025-10-23,Email,Email Q4 Push,130.4,85,1105
2025-10-23,Organic,Organic Q4 Push,0.0,185,2220
2025-10-24,Paid Search,Paid Search Q4 Push,1374.22,920,9200
2025-10-24,Paid Social,Paid Social Q4 Push,832.19,567,5670
2025-10-24,Display,Display Q4 Push,355.18,218,2398
2025-10-24,Affiliate,Affiliate Q4 Push,330.02,279,2790
2025-10-24,Email,Email Q4 Push,134.26,40,400
2025-10-24,Organic,Organic Q4 Push,0.0,96,960
2025-10-25,Paid Search,Paid Search Q4 Push,1294.55,898,8980
2025-10-25,Paid Social,Paid Social Q4 Push,903.88,667,6670
2025-10-25,Display,Display Q4 Push,325.3,245,2695
2025-10-25,Affiliate,Affiliate Q4 Push,337.69,235,2350
2025-10-25,Email,Email Q4 Push,174.56,134,1742
2025-10-25,Organic,Organic Q4 Push,0.0,122,1220
2025-10-26,Paid Search,Paid Search Q4 Push,1151.02,708,8496
2025-10-26,Paid Social,Paid Social Q4 Push,926.28,463,5093
2025-10-26,Display,Display Q4 Push,344.41,197,2758
2025-10-26,Affiliate,Affiliate Q4 Push,261.49,121,1210
2025-10-26,Email,Email Q4 Push,141.99,159,1749
2025-10-26,Organic,Organic Q4 Push,0.0,170,2380
2025-10-27,Paid Search,Paid Search Q4 Push,1189.22,695,9035
2025-10-27,Paid Social,Paid Social Q4 Push,1133.82,803,10439
2025-10-27,Display,Display Q4 Push,497.52,249,2490
2025-10-27,Affiliate,Affiliate Q4 Push,293.74,271,2710
2025-10-27,Email,Email Q4 Push,148.96,110,1540
2025-10-27,Organic,Organic Q4 Push,0.0,137,1370
2025-10-28,Paid Search,Paid Search Q4 Push,1090.17,762,7620
2025-10-28,Paid Social,Paid Social Q4 Push,766.3,479,4790
2025-10-28,Display,Display Q4 Push,359.04,184,1840
2025-10-28,Affiliate,Affiliate Q4 Push,187.84,164,1640
2025-10-28,Email,Email Q4 Push,156.71,115,1150
2025-10-28,Organic,Organic Q4 Push,0.0,185,2220
2025-10-29,Paid Search,Paid Search Q4 Push,1138.74,759,7590
2025-10-29,Paid Social,Paid Social Q4 Push,709.34,606,7878
2025-10-29,Display,Display Q4 Push,441.8,456,5928
2025-10-29,Affiliate,Affiliate Q4 Push,289.14,249,2988
2025-10-29,Email,Email Q4 Push,129.69,28,280
2025-10-29,Organic,Organic Q4 Push,0.0,74,814
2025-10-30,Paid Search,Paid Search Q4 Push,1400.85,972,9720
2025-10-30,Paid Social,Paid Social Q4 Push,828.62,587,7631
2025-10-30,Display,Display Q4 Push,304.08,179,2327
2025-10-30,Affiliate,Affiliate Q4 Push,316.99,200,2000
2025-10-30,Email,Email Q4 Push,118.4,31,310
2025-10-30,Organic,Organic Q4 Push,0.0,117,1170
2025-10-31,Paid Search,Paid Search Q4 Push,1523.48,1025,12300
2025-10-31,Paid Social,Paid Social Q4 Push,518.9,363,3630
2025-10-31,Display,Display Q4 Push,516.89,354,3540
2025-10-31,Affiliate,Affiliate Q4 Push,325.35,190,2470
2025-10-31,Email,Email Q4 Push,151.4,41,533
2025-10-31,Organic,Organic Q4 Push,0.0,198,2376
2025-11-01,Paid Search,Paid Search Q4 Push,1147.08,720,10080
2025-11-01,Paid Social,Paid Social Q4 Push,821.91,480,5760
2025-11-01,Display,Display Q4 Push,419.52,350,3500
2025-11-01,Affiliate,Affiliate Q4 Push,247.8,201,2010
2025-11-01,Email,Email Q4 Push,151.14,113,1130
2025-11-01,Organic,Organic Q4 Push,0.0,57,627
2025-11-02,Paid Search,Paid Search Q4 Push,1395.21,917,9170
2025-11-02,Paid Social,Paid Social Q4 Push,963.5,565,5650
2025-11-02,Display,Display Q4 Push,466.33,162,1620
2025-11-02,Affiliate,Affiliate Q4 Push,320.67,261,2610
2025-11-02,Email,Email Q4 Push,146.08,52,624
2025-11-02,Organic,Organic Q4 Push,0.0,13,130
2025-11-03,Paid Search,Paid Search Q4 Push,1326.31,891,9801
2025-11-03,Paid Social,Paid Social Q4 Push,891.58,649,7139
2025-11-03,Display,Display Q4 Push,479.05,384,4608
2025-11-03,Affiliate,Affiliate Q4 Push,235.08,162,1620
2025-11-03,Email,Email Q4 Push,177.42,69,690
2025-11-03,Organic,Organic Q4 Push,0.0,184,2392
2025-11-04,Paid Search,Paid Search Q4 Push,1116.51,750,9750
2025-11-04,Paid Social,Paid Social Q4 Push,772.17,503,6036
2025-11-04,Display,Display Q4 Push,347.31,172,1720
2025-11-04,Affiliate,Affiliate Q4 Push,349.68,302,4228
2025-11-04,Email,Email Q4 Push,135.74,68,816
2025-11-04,Organic,Organic Q4 Push,0.0,154,2002
2025-11-05,Paid Search,Paid Search Q4 Push,1108.9,671,9394
2025-11-05,Paid Social,Paid Social Q4 Push,776.13,513,5130
2025-11-05,Display,Display Q4 Push,248.35,162,1782
2025-11-05,Affiliate,Affiliate Q4 Push,300.27,253,2530
2025-11-05,Email,Email Q4 Push,145.8,227,2270
2025-11-05,Organic,Organic Q4 Push,0.0,163,1956
2025-11-06,Paid Search,Paid Search Q4 Push,1065.15,762,7620
2025-11-06,Paid Social,Paid Social Q4 Push,1014.86,780,10920
2025-11-06,Display,Display Q4 Push,365.68,292,3504
2025-11-06,Affiliate,Affiliate Q4 Push,345.55,369,3690
2025-11-06,Email,Email Q4 Push,179.44,43,430
2025-11-06,Organic,Organic Q4 Push,0.0,102,1020
2025-11-07,Paid Search,Paid Search Q4 Push,1428.79,932,9320
2025-11-07,Paid Social,Paid Social Q4 Push,730.3,426,4260
2025-11-07,Display,Display Q4 Push,354.18,294,2940
2025-11-07,Affiliate,Affiliate Q4 Push,203.98,40,400
2025-11-07,Email,Email Q4 Push,135.26,101,1313
2025-11-07,Organic,Organic Q4 Push,0.0,100,1200
2025-11-08,Paid Search,Paid Search Q4 Push,1480.33,924,9240
2025-11-08,Paid Social,Paid Social Q4 Push,636.56,570,5700
2025-11-08,Display,Display Q4 Push,413.25,272,3536
2025-11-08,Affiliate,Affiliate Q4 Push,388.34,139,1668
2025-11-08,Email,Email Q4 Push,173.5,78,1014
2025-11-08,Organic,Organic Q4 Push,0.0,163,2282
2025-11-09,Paid Search,Paid Search Q4 Push,1301.08,855,8550
2025-11-09,Paid Social,Paid Social Q4 Push,730.22,549,5490
2025-11-09,Display,Display Q4 Push,378.72,206,2266
2025-11-09,Affiliate,Affiliate Q4 Push,392.3,206,2884
2025-11-09,Email,Email Q4 Push,168.98,56,672
2025-11-09,Organic,Organic Q4 Push,0.0,153,1530
2025-11-10,Paid Search,Paid Search Q4 Push,1279.29,848,9328
2025-11-10,Paid Social,Paid Social Q4 Push,1140.61,652,7824
2025-11-10,Display,Display Q4 Push,418.9,316,3160
2025-11-10,Affiliate,Affiliate Q4 Push,254.18,104,1040
2025-11-10,Email,Email Q4 Push,170.66,31,310
2025-11-10,Organic,Organic Q4 Push,0.0,174,2262
2025-11-11,Paid Search,Paid Search Q4 Push,1172.24,786,7860
2025-11-11,Paid Social,Paid Social Q4 Push,660.15,528,6336
2025-11-11,Display,Display Q4 Push,333.31,225,2475
2025-11-11,Affiliate,Affiliate Q4 Push,341.37,293,2930
2025-11-11,Email,Email Q4 Push,149.27,9,117
2025-11-11,Organic,Organic Q4 Push,0.0,125,1625
2025-11-12,Paid Search,Paid Search Q4 Push,1347.33,850,10200
2025-11-12,Paid Social,Paid Social Q4 Push,667.44,376,4888
2025-11-12,Display,Display Q4 Push,439.33,401,5213
2025-11-12,Affiliate,Affiliate Q4 Push,319.61,312,3744
2025-11-12,Email,Email Q4 Push,175.67,0,0
2025-11-12,Organic,Organic Q4 Push,0.0,157,2198
2025-11-13,Paid Search,Paid Search Q4 Push,1180.56,780,10920
2025-11-13,Paid Social,Paid Social Q4 Push,827.93,531,5310
2025-11-13,Display,Display Q4 Push,461.37,325,3250
2025-11-13,Affiliate,Affiliate Q4 Push,347.0,303,3636
2025-11-13,Email,Email Q4 Push,141.86,105,1050
2025-11-13,Organic,Organic Q4 Push,0.0,140,1400
2025-11-14,Paid Search,Paid Search Q4 Push,1178.01,793,9516
2025-11-14,Paid Social,Paid Social Q4 Push,823.33,535,7490
2025-11-14,Display,Display Q4 Push,460.2,339,3729
2025-11-14,Affiliate,Affiliate Q4 Push,279.0,163,1630
2025-11-14,Email,Email Q4 Push,133.07,97,970
2025-11-14,Organic,Organic Q4 Push,0.0,158,1580
2025-11-15,Paid Search,Paid Search Q4 Push,855.69,677,6770
2025-11-15,Paid Social,Paid Social Q4 Push,798.63,467,5137
2025-11-15,Display,Display Q4 Push,446.97,353,4236
2025-11-15,Affiliate,Affiliate Q4 Push,276.86,160,1760
2025-11-15,Email,Email Q4 Push,165.2,144,1440
2025-11-15,Organic,Organic Q4 Push,0.0,103,1030
2025-11-16,Paid Search,Paid Search Q4 Push,1148.67,823,8230
2025-11-16,Paid Social,Paid Social Q4 Push,823.39,483,5313
2025-11-16,Display,Display Q4 Push,395.42,163,1630
2025-11-16,Affiliate,Affiliate Q4 Push,352.0,216,3024
2025-11-16,Email,Email Q4 Push,208.54,269,2690
2025-11-16,Organic,Organic Q4 Push,0.0,201,2010
2025-11-17,Paid Search,Paid Search Q4 Push,1254.53,801,8010
2025-11-17,Paid Social,Paid Social Q4 Push,669.74,366,3660
2025-11-17,Display,Display Q4 Push,404.55,163,1956
2025-11-17,Affiliate,Affiliate Q4 Push,234.66,146,1606
2025-11-17,Email,Email Q4 Push,145.14,165,1650
2025-11-17,Organic,Organic Q4 Push,0.0,96,1152
2025-11-18,Paid Search,Paid Search Q4 Push,1118.66,837,8370
2025-11-18,Paid Social,Paid Social Q4 Push,912.84,597,5970
2025-11-18,Display,Display Q4 Push,477.84,313,3130
2025-11-18,Affiliate,Affiliate Q4 Push,251.97,107,1391
2025-11-18,Email,Email Q4 Push,147.04,49,686
2025-11-18,Organic,Organic Q4 Push,0.0,205,2050
2025-11-19,Paid Search,Paid Search Q4 Push,1045.3,737,7370
2025-11-19,Paid Social,Paid Social Q4 Push,747.32,560,5600
2025-11-19,Display,Display Q4 Push,400.09,150,1950
2025-11-19,Affiliate,Affiliate Q4 Push,328.76,251,2510
2025-11-19,Email,Email Q4 Push,137.55,57,570
2025-11-19,Organic,Organic Q4 Push,0.0,165,1650
2025-11-20,Paid Search,Paid Search Q4 Push,1368.24,921,9210
2025-11-20,Paid Social,Paid Social Q4 Push,992.71,690,6900
2025-11-20,Display,Display Q4 Push,356.89,284,2840
2025-11-20,Affiliate,Affiliate Q4 Push,248.33,138,1380
2025-11-20,Email,Email Q4 Push,154.2,11,110
2025-11-20,Organic,Organic Q4 Push,0.0,150,1500
2025-11-21,Paid Search,Paid Search Q4 Push,1018.84,667,6670
2025-11-21,Paid Social,Paid Social Q4 Push,787.84,445,5340
2025-11-21,Display,Display Q4 Push,405.32,277,3601
2025-11-21,Affiliate,Affiliate Q4 Push,270.98,136,1496
2025-11-21,Email,Email Q4 Push,155.79,181,1810
2025-11-21,Organic,Organic Q4 Push,0.0,130,1300
2025-11-22,Paid Search,Paid Search Q4 Push,1275.6,861,9471
2025-11-22,Paid Social,Paid Social Q4 Push,941.27,737,7370
2025-11-22,Display,Display Q4 Push,372.6,302,4228
2025-11-22,Affiliate,Affiliate Q4 Push,264.53,112,1456
2025-11-22,Email,Email Q4 Push,145.17,184,2024
2025-11-22,Organic,Organic Q4 Push,0.0,19,247
2025-11-23,Paid Search,Paid Search Q4 Push,1310.08,927,10197
2025-11-23,Paid Social,Paid Social Q4 Push,645.79,411,4521
2025-11-23,Display,Display Q4 Push,461.55,352,4928
2025-11-23,Affiliate,Affiliate Q4 Push,261.8,96,960
2025-11-23,Email,Email Q4 Push,161.94,14,154
2025-11-23,Organic,Organic Q4 Push,0.0,174,2262
2025-11-24,Paid Search,Paid Search Q4 Push,1102.67,691,9674
2025-11-24,Paid Social,Paid Social Q4 Push,849.72,585,5850
2025-11-24,Display,Display Q4 Push,408.56,368,4784
2025-11-24,Affiliate,Affiliate Q4 Push,269.36,162,1620
2025-11-24,Email,Email Q4 Push,122.83,146,1460
2025-11-24,Organic,Organic Q4 Push,0.0,86,1204
2025-11-25,Paid Search,Paid Search Q4 Push,1090.66,660,6600
2025-11-25,Paid Social,Paid Social Q4 Push,920.41,559,5590
2025-11-25,Display,Display Q4 Push,418.1,357,3927
2025-11-25,Affiliate,Affiliate Q4 Push,303.25,341,3410
2025-11-25,Email,Email Q4 Push,155.73,48,528
2025-11-25,Organic,Organic Q4 Push,0.0,119,1190
2025-11-26,Paid Search,Paid Search Q4 Push,960.6,665,6650
2025-11-26,Paid Social,Paid Social Q4 Push,947.2,658,9212
2025-11-26,Display,Display Q4 Push,483.07,337,3707
2025-11-26,Affiliate,Affiliate Q4 Push,251.21,293,3516
2025-11-26,Email,Email Q4 Push,181.26,166,1660
2025-11-26,Organic,Organic Q4 Push,0.0,215,3010
2025-11-27,Paid Search,Paid Search Q4 Push,1209.61,844,10128
2025-11-27,Paid Social,Paid Social Q4 Push,1075.42,709,9926
2025-11-27,Display,Display Q4 Push,445.45,356,3560
2025-11-27,Affiliate,Affiliate Q4 Push,239.13,155,1550
2025-11-27,Email,Email Q4 Push,179.93,66,924
2025-11-27,Organic,Organic Q4 Push,0.0,53,583
2025-11-28,Paid Search,Paid Search Q4 Push,1062.33,600,8400
2025-11-28,Paid Social,Paid Social Q4 Push,781.8,595,7735
2025-11-28,Display,Display Q4 Push,452.92,288,4032
2025-11-28,Affiliate,Affiliate Q4 Push,289.22,179,1790
2025-11-28,Email,Email Q4 Push,147.67,21,294
2025-11-28,Organic,Organic Q4 Push,0.0,217,2387
2025-11-29,Paid Search,Paid Search Q4 Push,1163.43,765,9945
2025-11-29,Paid Social,Paid Social Q4 Push,733.03,478,6214
2025-11-29,Display,Display Q4 Push,323.07,150,2100
2025-11-29,Affiliate,Affiliate Q4 Push,332.79,290,2900
2025-11-29,Email,Email Q4 Push,172.47,289,2890
2025-11-29,Organic,Organic Q4 Push,0.0,152,2128
2025-11-30,Paid Search,Paid Search Q4 Push,1156.47,706,8472
2025-11-30,Paid Social,Paid Social Q4 Push,814.2,494,4940
2025-11-30,Display,Display Q4 Push,407.83,251,3012
2025-11-30,Affiliate,Affiliate Q4 Push,277.97,179,1790
2025-11-30,Email,Email Q4 Push,144.15,72,864
2025-11-30,Organic,Organic Q4 Push,0.0,184,1840
